state,price
Colorado,489900.0
Connecticut,572317.3080564796
Delaware,392024.009962169
District of Columbia,1254046.8597260274
Maine,494188.73170070484
Maryland,535084.6607368548
Massachusetts,944801.3054267551
New Hampshire,588249.5844161323
New Jersey,626840.6684347199
New York,691749.3900570902
Ohio,162530.4955638421
Pennsylvania,316969.6456776474
Puerto Rico,378037.1336181783
Rhode Island,517653.0322527966
Vermont,497888.3653087439
Virgin Islands,1424680.4578754578
Virginia,909902.7329061981
West Virginia,302168.9226731652
Wyoming,535000.0
