state,price,lat,lon
Colorado,489900.0,38.7251776,-105.607716
Connecticut,572317.3080564796,41.6500201,-72.7342163
Delaware,392024.009962169,38.6920451,-75.4013315
District of Columbia,1254046.8597260274,38.89384735,-76.98804281910948
Maine,494188.7317007048,45.709097,-68.8590201
Maryland,535084.6607368548,39.5162401,-76.9382069
Massachusetts,944801.3054267552,42.3788774,-72.032366
New Hampshire,588249.5844161323,43.4849133,-71.6553992
New Jersey,626840.6684347199,40.0757384,-74.4041622
New York,691749.3900570902,43.1561681,-75.8449946
Ohio,162530.4955638421,40.2253569,-82.6881395
Pennsylvania,316969.6456776474,40.9699889,-77.7278831
Puerto Rico,378037.1336181783,18.2247706,-66.4858295
Rhode Island,517653.0322527966,41.7962409,-71.5992372
Vermont,497888.3653087439,44.5990718,-72.5002608
Virgin Islands,1424680.4578754578,17.789187,-64.7080574
Virginia,909902.732906198,37.1232245,-78.4927721
West Virginia,302168.9226731652,38.4758406,-80.8408415
Wyoming,535000.0,43.1700264,-107.568534
